prompt,intent
"Write a Python function to calculate factorial",code
"Tell me a short story about a dragon",creative
"What is the capital of France?",simple
"Summarize the article about climate change",summary
"Explain quantum entanglement",advanced
"Generate a blog post for SEO on AI tools",seo
"Convert this sentence into passive voice",simple
"Write a C# method to send an HTTP request",code
"Compose a poem about summer",creative
"Paraphrase this",summary
"Write a Python function to calculate factorial",code
"Tell me a short story about a dragon",creative
"What is the capital of France?",simple
"Summarize the article about climate change",summary
"Explain quantum entanglement",advanced
"Generate a blog post for SEO on AI tools",seo
"Convert this sentence into passive voice",simple
"Write a C# method to send an HTTP request",code
"Compose a poem about summer",creative
"Write a JavaScript function to validate an email address",code
"Describe a futuristic city in 100 words",creative
"What is the boiling point of water?",simple
"Summarize the latest news on AI regulation",summary
"Explain the theory of relativity",advanced
"Create an SEO-friendly blog intro for a productivity app",seo
"Change this sentence to active voice",simple
"Write a Java program to reverse a string",code
"Write a haiku about autumn",creative
"Rewrite this paragraph in simpler terms",summary
"Write a Python script to scrape a website",code
"Tell me a bedtime story about a robot",creative
"Who was the first president of the USA?",simple
"Summarize the book '1984' by George Orwell",summary
"Describe how black holes are formed",advanced
"Generate SEO content for a health supplement site",seo
"Turn this statement into a question",simple
"Create a C++ function to calculate Fibonacci numbers",code
"Write a limerick about a cat",creative
"Write a SQL query to fetch top 5 customers by revenue",code
"Imagine a world where humans can fly—describe a scene",creative
"What is the chemical symbol for gold?",simple
"Summarize the pros and cons of electric vehicles",summary
"Explain how neural networks work",advanced
"Generate an SEO-friendly description for a travel agency",seo
"Convert this paragraph into bullet points",simple
"Write a Rust function to sort a list",code
"Compose a short story about time travel",creative
"Rephrase this sentence to sound more professional",summary
"Write a Bash script to back up a directory",code
"Describe a magical forest from a fairy tale",creative
"What is the currency used in Japan?",simple
"Summarize the plot of 'Inception'",summary
"Explain how blockchain ensures security",advanced
"Write an SEO-optimized title for a fitness blog",seo
"Transform this complex sentence into a simple one",simple
"Write a Go program to fetch API data",code
"Write a sonnet about the ocean",creative
"Summarize the benefits of meditation",summary
"Explain the difference between HTTP and HTTPS",advanced
"Generate SEO tags for an online bookstore",seo
"Write a PHP function to send an email",code
"Create a fantasy tale involving a talking sword",creative
"What's the largest planet in our solar system?",simple
"Summarize the impact of social media on teens",summary
"Explain the concept of recursion with an example",advanced
"Generate SEO meta description for a food blog",seo
"Rewrite this text for a 5th-grade reading level",simple
"Create a Swift function to calculate BMI",code
"Write a free verse poem about loneliness",creative
"Write a Python function to check for palindrome",code
"Invent a creature and describe its habitat",creative
"What is the speed of light?",simple
"Summarize the main points of the Agile methodology",summary
"Explain the differences between supervised and unsupervised learning",advanced
"Write SEO-friendly content for a personal finance website",seo
"Change this paragraph to use simpler vocabulary",simple
"Create a Java method to calculate compound interest",code
"Write a short story about a haunted lighthouse",creative
"Paraphrase this paragraph to avoid plagiarism",summary
"Create a PowerShell script to monitor CPU usage",code
"Describe a utopian society in the future",creative
"What is the capital of Australia?",simple
"Summarize the causes and effects of World War II",summary
"Explain entropy in the context of thermodynamics",advanced
"Generate SEO content for an online learning platform",seo
"Rewrite this sentence to be more concise",simple
"Write a Kotlin function to reverse a list",code
"Compose a ballad about a wandering knight",creative
"Summarize the health benefits of yoga",summary
"Explain the concept of time dilation",advanced
"Write SEO headlines for a mental health blog",seo
"Write a JavaScript snippet to debounce a function",code
"Write a fable with a moral lesson",creative
"What is the freezing point of water in Celsius?",simple
"Summarize the main findings of the IPCC climate report",summary
"Explain the architecture of a microservices system",advanced
"Generate a product description for a smart watch (SEO-optimized)",seo
"Change this sentence into a question",simple
"Write a C function to count vowels in a string",code
"Write a rhyming couplet about the stars",creative
